filename,frequency,instrument_family,instrument_family_str,pitch,sample_rate
brass_acoustic_046-067-100,391.99543598174927,1,brass,67,16000
string_acoustic_057-062-127,293.6647679174076,8,string,62,16000
organ_electronic_104-064-127,329.6275569128699,6,organ,64,16000
keyboard_electronic_098-060-050,261.6255653005986,4,keyboard,60,16000
vocal_synthetic_003-069-050,440.0,10,vocal,69,16000
keyboard_acoustic_004-065-075,349.2282314330039,4,keyboard,65,16000
guitar_acoustic_014-072-127,523.2511306011972,3,guitar,72,16000
bass_synthetic_033-062-100,293.6647679174076,0,bass,62,16000
organ_electronic_001-069-025,440.0,6,organ,69,16000
mallet_acoustic_062-062-075,293.6647679174076,5,mallet,62,16000
brass_acoustic_016-072-075,523.2511306011972,1,brass,72,16000
guitar_electronic_022-065-127,349.2282314330039,3,guitar,65,16000
keyboard_electronic_098-060-025,261.6255653005986,4,keyboard,60,16000
guitar_acoustic_021-065-050,349.2282314330039,3,guitar,65,16000
guitar_acoustic_021-060-100,261.6255653005986,3,guitar,60,16000
organ_electronic_113-060-075,261.6255653005986,6,organ,60,16000
keyboard_electronic_069-065-127,349.2282314330039,4,keyboard,65,16000
bass_synthetic_033-064-075,329.6275569128699,0,bass,64,16000
organ_electronic_007-065-050,349.2282314330039,6,organ,65,16000
brass_acoustic_015-065-050,349.2282314330039,1,brass,65,16000
string_acoustic_057-067-025,391.99543598174927,8,string,67,16000
flute_synthetic_000-065-050,349.2282314330039,2,flute,65,16000
keyboard_electronic_069-060-075,261.6255653005986,4,keyboard,60,16000
organ_electronic_007-062-127,293.6647679174076,6,organ,62,16000
reed_acoustic_018-064-050,329.6275569128699,7,reed,64,16000
bass_synthetic_068-062-025,293.6647679174076,0,bass,62,16000
mallet_acoustic_047-071-100,493.8833012561241,5,mallet,71,16000
bass_electronic_018-060-100,261.6255653005986,0,bass,60,16000
brass_acoustic_015-060-025,261.6255653005986,1,brass,60,16000
brass_acoustic_046-072-025,523.2511306011972,1,brass,72,16000
string_acoustic_014-060-050,261.6255653005986,8,string,60,16000
bass_electronic_018-060-127,261.6255653005986,0,bass,60,16000
reed_acoustic_037-065-100,349.2282314330039,7,reed,65,16000
mallet_acoustic_047-069-025,440.0,5,mallet,69,16000
guitar_acoustic_015-069-050,440.0,3,guitar,69,16000
brass_acoustic_006-064-050,329.6275569128699,1,brass,64,16000
mallet_acoustic_062-065-127,349.2282314330039,5,mallet,65,16000
keyboard_electronic_002-069-075,440.0,4,keyboard,69,16000
reed_acoustic_037-060-025,261.6255653005986,7,reed,60,16000
keyboard_synthetic_000-060-025,261.6255653005986,4,keyboard,60,16000
guitar_acoustic_015-071-100,493.8833012561241,3,guitar,71,16000
reed_acoustic_018-064-025,329.6275569128699,7,reed,64,16000
brass_acoustic_046-060-025,261.6255653005986,1,brass,60,16000
guitar_acoustic_015-060-100,261.6255653005986,3,guitar,60,16000
brass_acoustic_015-072-075,523.2511306011972,1,brass,72,16000
keyboard_electronic_003-069-050,440.0,4,keyboard,69,16000
mallet_acoustic_056-060-127,261.6255653005986,5,mallet,60,16000
reed_acoustic_011-062-025,293.6647679174076,7,reed,62,16000
flute_synthetic_000-060-127,261.6255653005986,2,flute,60,16000
bass_synthetic_068-069-075,440.0,0,bass,69,16000
guitar_electronic_022-062-075,293.6647679174076,3,guitar,62,16000
guitar_acoustic_030-065-127,349.2282314330039,3,guitar,65,16000
flute_synthetic_000-062-050,293.6647679174076,2,flute,62,16000
brass_acoustic_015-065-127,349.2282314330039,1,brass,65,16000
organ_electronic_007-065-100,349.2282314330039,6,organ,65,16000
reed_acoustic_037-072-025,523.2511306011972,7,reed,72,16000
keyboard_electronic_002-065-075,349.2282314330039,4,keyboard,65,16000
bass_synthetic_098-064-100,329.6275569128699,0,bass,64,16000
guitar_acoustic_010-067-050,391.99543598174927,3,guitar,67,16000
mallet_acoustic_056-072-050,523.2511306011972,5,mallet,72,16000
keyboard_electronic_003-069-025,440.0,4,keyboard,69,16000
vocal_acoustic_000-067-100,391.99543598174927,10,vocal,67,16000
organ_electronic_001-069-075,440.0,6,organ,69,16000
keyboard_synthetic_000-072-025,523.2511306011972,4,keyboard,72,16000
organ_electronic_113-072-025,523.2511306011972,6,organ,72,16000
guitar_electronic_028-067-075,391.99543598174927,3,guitar,67,16000
keyboard_electronic_069-062-075,293.6647679174076,4,keyboard,62,16000
keyboard_electronic_098-072-050,523.2511306011972,4,keyboard,72,16000
brass_acoustic_016-064-127,329.6275569128699,1,brass,64,16000
reed_acoustic_023-071-050,493.8833012561241,7,reed,71,16000
guitar_acoustic_015-071-075,493.8833012561241,3,guitar,71,16000
bass_synthetic_134-065-050,349.2282314330039,0,bass,65,16000
guitar_electronic_022-069-127,440.0,3,guitar,69,16000
string_acoustic_057-071-127,493.8833012561241,8,string,71,16000
reed_acoustic_037-060-050,261.6255653005986,7,reed,60,16000
guitar_electronic_028-062-100,293.6647679174076,3,guitar,62,16000
reed_acoustic_023-064-025,329.6275569128699,7,reed,64,16000
keyboard_electronic_098-060-075,261.6255653005986,4,keyboard,60,16000
mallet_acoustic_056-065-050,349.2282314330039,5,mallet,65,16000
bass_synthetic_033-067-127,391.99543598174927,0,bass,67,16000
guitar_acoustic_014-067-050,391.99543598174927,3,guitar,67,16000
keyboard_synthetic_000-065-100,349.2282314330039,4,keyboard,65,16000
bass_synthetic_098-067-075,391.99543598174927,0,bass,67,16000
guitar_electronic_028-069-050,440.0,3,guitar,69,16000
vocal_synthetic_003-067-127,391.99543598174927,10,vocal,67,16000
brass_acoustic_046-069-075,440.0,1,brass,69,16000
organ_electronic_113-069-050,440.0,6,organ,69,16000
mallet_acoustic_047-069-100,440.0,5,mallet,69,16000
bass_synthetic_034-064-100,329.6275569128699,0,bass,64,16000
bass_synthetic_134-072-025,523.2511306011972,0,bass,72,16000
brass_acoustic_016-064-050,329.6275569128699,1,brass,64,16000
vocal_acoustic_000-062-075,293.6647679174076,10,vocal,62,16000
brass_acoustic_006-064-127,329.6275569128699,1,brass,64,16000
brass_acoustic_006-062-025,293.6647679174076,1,brass,62,16000
guitar_acoustic_010-065-075,349.2282314330039,3,guitar,65,16000
organ_electronic_028-072-127,523.2511306011972,6,organ,72,16000
bass_synthetic_098-060-025,261.6255653005986,0,bass,60,16000
mallet_acoustic_062-064-075,329.6275569128699,5,mallet,64,16000
reed_acoustic_018-071-050,493.8833012561241,7,reed,71,16000
guitar_acoustic_014-069-075,440.0,3,guitar,69,16000
flute_synthetic_000-069-050,440.0,2,flute,69,16000
flute_synthetic_000-065-075,349.2282314330039,2,flute,65,16000
keyboard_synthetic_000-067-075,391.99543598174927,4,keyboard,67,16000
guitar_electronic_022-062-025,293.6647679174076,3,guitar,62,16000
guitar_electronic_028-064-025,329.6275569128699,3,guitar,64,16000
flute_synthetic_000-060-050,261.6255653005986,2,flute,60,16000
organ_electronic_104-060-050,261.6255653005986,6,organ,60,16000
keyboard_electronic_003-060-100,261.6255653005986,4,keyboard,60,16000
bass_synthetic_034-072-075,523.2511306011972,0,bass,72,16000
flute_synthetic_000-060-075,261.6255653005986,2,flute,60,16000
reed_acoustic_023-064-050,329.6275569128699,7,reed,64,16000
vocal_synthetic_003-060-075,261.6255653005986,10,vocal,60,16000
guitar_acoustic_015-067-075,391.99543598174927,3,guitar,67,16000
vocal_synthetic_003-062-100,293.6647679174076,10,vocal,62,16000
vocal_acoustic_000-064-100,329.6275569128699,10,vocal,64,16000
organ_electronic_057-071-100,493.8833012561241,6,organ,71,16000
brass_acoustic_015-071-050,493.8833012561241,1,brass,71,16000
bass_synthetic_009-069-075,440.0,0,bass,69,16000
brass_acoustic_006-071-050,493.8833012561241,1,brass,71,16000
keyboard_synthetic_000-067-025,391.99543598174927,4,keyboard,67,16000
keyboard_electronic_078-065-127,349.2282314330039,4,keyboard,65,16000
brass_acoustic_016-069-075,440.0,1,brass,69,16000
bass_synthetic_009-072-100,523.2511306011972,0,bass,72,16000
bass_synthetic_068-072-127,523.2511306011972,0,bass,72,16000
guitar_electronic_028-071-050,493.8833012561241,3,guitar,71,16000
keyboard_electronic_001-062-075,293.6647679174076,4,keyboard,62,16000
mallet_acoustic_047-069-127,440.0,5,mallet,69,16000
brass_acoustic_016-069-025,440.0,1,brass,69,16000
keyboard_electronic_098-062-075,293.6647679174076,4,keyboard,62,16000
reed_acoustic_011-071-100,493.8833012561241,7,reed,71,16000
keyboard_acoustic_004-060-075,261.6255653005986,4,keyboard,60,16000
guitar_acoustic_010-072-025,523.2511306011972,3,guitar,72,16000
brass_acoustic_016-062-025,293.6647679174076,1,brass,62,16000
vocal_synthetic_003-067-075,391.99543598174927,10,vocal,67,16000
organ_electronic_028-060-050,261.6255653005986,6,organ,60,16000
brass_acoustic_015-064-025,329.6275569128699,1,brass,64,16000
organ_electronic_113-065-025,349.2282314330039,6,organ,65,16000
brass_acoustic_046-072-127,523.2511306011972,1,brass,72,16000
brass_acoustic_006-060-127,261.6255653005986,1,brass,60,16000
keyboard_electronic_002-065-050,349.2282314330039,4,keyboard,65,16000
keyboard_electronic_001-071-127,493.8833012561241,4,keyboard,71,16000
reed_acoustic_018-072-100,523.2511306011972,7,reed,72,16000
reed_acoustic_037-065-127,349.2282314330039,7,reed,65,16000
bass_synthetic_068-067-075,391.99543598174927,0,bass,67,16000
bass_synthetic_034-069-075,440.0,0,bass,69,16000
reed_acoustic_011-069-075,440.0,7,reed,69,16000
keyboard_electronic_078-060-100,261.6255653005986,4,keyboard,60,16000
reed_acoustic_011-067-050,391.99543598174927,7,reed,67,16000
mallet_acoustic_047-072-050,523.2511306011972,5,mallet,72,16000
reed_acoustic_023-067-075,391.99543598174927,7,reed,67,16000
keyboard_electronic_001-072-025,523.2511306011972,4,keyboard,72,16000
keyboard_acoustic_004-060-050,261.6255653005986,4,keyboard,60,16000
guitar_acoustic_015-071-050,493.8833012561241,3,guitar,71,16000
keyboard_electronic_003-067-050,391.99543598174927,4,keyboard,67,16000
bass_synthetic_068-060-075,261.6255653005986,0,bass,60,16000
bass_synthetic_068-060-100,261.6255653005986,0,bass,60,16000
reed_acoustic_037-062-075,293.6647679174076,7,reed,62,16000
bass_synthetic_009-065-127,349.2282314330039,0,bass,65,16000
keyboard_electronic_001-065-075,349.2282314330039,4,keyboard,65,16000
string_acoustic_014-064-100,329.6275569128699,8,string,64,16000
bass_synthetic_135-060-075,261.6255653005986,0,bass,60,16000
mallet_acoustic_062-062-127,293.6647679174076,5,mallet,62,16000
keyboard_acoustic_004-062-100,293.6647679174076,4,keyboard,62,16000
bass_synthetic_134-067-100,391.99543598174927,0,bass,67,16000
bass_synthetic_068-064-127,329.6275569128699,0,bass,64,16000
bass_synthetic_098-072-127,523.2511306011972,0,bass,72,16000
keyboard_acoustic_004-062-050,293.6647679174076,4,keyboard,62,16000
guitar_acoustic_021-064-075,329.6275569128699,3,guitar,64,16000
guitar_acoustic_015-067-025,391.99543598174927,3,guitar,67,16000
vocal_synthetic_003-072-025,523.2511306011972,10,vocal,72,16000
keyboard_acoustic_004-062-025,293.6647679174076,4,keyboard,62,16000
bass_electronic_025-060-050,261.6255653005986,0,bass,60,16000
reed_acoustic_023-065-025,349.2282314330039,7,reed,65,16000
guitar_acoustic_010-071-050,493.8833012561241,3,guitar,71,16000
keyboard_synthetic_000-071-050,493.8833012561241,4,keyboard,71,16000
keyboard_acoustic_004-069-050,440.0,4,keyboard,69,16000
guitar_acoustic_021-067-050,391.99543598174927,3,guitar,67,16000
string_acoustic_057-067-127,391.99543598174927,8,string,67,16000
reed_acoustic_023-065-050,349.2282314330039,7,reed,65,16000
guitar_acoustic_010-062-025,293.6647679174076,3,guitar,62,16000
brass_acoustic_016-072-050,523.2511306011972,1,brass,72,16000
guitar_acoustic_021-072-100,523.2511306011972,3,guitar,72,16000
brass_acoustic_006-069-075,440.0,1,brass,69,16000
guitar_acoustic_010-062-100,293.6647679174076,3,guitar,62,16000
vocal_acoustic_000-065-025,349.2282314330039,10,vocal,65,16000
string_acoustic_014-060-075,261.6255653005986,8,string,60,16000
mallet_acoustic_062-069-025,440.0,5,mallet,69,16000
organ_electronic_113-064-075,329.6275569128699,6,organ,64,16000
keyboard_electronic_002-064-075,329.6275569128699,4,keyboard,64,16000
mallet_acoustic_062-072-127,523.2511306011972,5,mallet,72,16000
bass_electronic_018-062-050,293.6647679174076,0,bass,62,16000
string_acoustic_014-065-100,349.2282314330039,8,string,65,16000
guitar_acoustic_030-072-075,523.2511306011972,3,guitar,72,16000
reed_acoustic_011-072-050,523.2511306011972,7,reed,72,16000
flute_synthetic_000-069-025,440.0,2,flute,69,16000
organ_electronic_104-069-050,440.0,6,organ,69,16000
bass_synthetic_033-064-050,329.6275569128699,0,bass,64,16000
flute_synthetic_000-067-025,391.99543598174927,2,flute,67,16000
mallet_acoustic_062-064-127,329.6275569128699,5,mallet,64,16000
guitar_electronic_028-062-025,293.6647679174076,3,guitar,62,16000
keyboard_electronic_098-065-050,349.2282314330039,4,keyboard,65,16000
guitar_electronic_022-067-050,391.99543598174927,3,guitar,67,16000
keyboard_electronic_069-060-025,261.6255653005986,4,keyboard,60,16000
guitar_acoustic_010-072-075,523.2511306011972,3,guitar,72,16000
reed_acoustic_018-072-025,523.2511306011972,7,reed,72,16000
brass_acoustic_016-072-127,523.2511306011972,1,brass,72,16000
guitar_acoustic_015-072-127,523.2511306011972,3,guitar,72,16000
reed_acoustic_011-067-100,391.99543598174927,7,reed,67,16000
keyboard_synthetic_000-069-025,440.0,4,keyboard,69,16000
vocal_acoustic_000-065-127,349.2282314330039,10,vocal,65,16000
guitar_acoustic_014-072-100,523.2511306011972,3,guitar,72,16000
bass_synthetic_134-060-025,261.6255653005986,0,bass,60,16000
guitar_acoustic_014-069-050,440.0,3,guitar,69,16000
guitar_electronic_022-072-127,523.2511306011972,3,guitar,72,16000
organ_electronic_001-067-127,391.99543598174927,6,organ,67,16000
vocal_synthetic_003-072-075,523.2511306011972,10,vocal,72,16000
bass_synthetic_098-067-050,391.99543598174927,0,bass,67,16000
vocal_synthetic_003-064-127,329.6275569128699,10,vocal,64,16000
reed_acoustic_018-062-100,293.6647679174076,7,reed,62,16000
keyboard_electronic_098-071-075,493.8833012561241,4,keyboard,71,16000
guitar_acoustic_014-064-100,329.6275569128699,3,guitar,64,16000
keyboard_synthetic_000-062-025,293.6647679174076,4,keyboard,62,16000
reed_acoustic_011-065-100,349.2282314330039,7,reed,65,16000
bass_synthetic_068-071-025,493.8833012561241,0,bass,71,16000
guitar_acoustic_010-060-075,261.6255653005986,3,guitar,60,16000
brass_acoustic_006-060-075,261.6255653005986,1,brass,60,16000
guitar_electronic_028-064-127,329.6275569128699,3,guitar,64,16000
keyboard_electronic_003-071-075,493.8833012561241,4,keyboard,71,16000
string_acoustic_056-062-050,293.6647679174076,8,string,62,16000
organ_electronic_028-071-100,493.8833012561241,6,organ,71,16000
bass_synthetic_135-071-050,493.8833012561241,0,bass,71,16000
mallet_acoustic_062-071-050,493.8833012561241,5,mallet,71,16000
organ_electronic_113-062-075,293.6647679174076,6,organ,62,16000
bass_synthetic_134-067-050,391.99543598174927,0,bass,67,16000
brass_acoustic_006-064-075,329.6275569128699,1,brass,64,16000
reed_acoustic_011-060-100,261.6255653005986,7,reed,60,16000
bass_synthetic_068-064-025,329.6275569128699,0,bass,64,16000
keyboard_electronic_003-060-127,261.6255653005986,4,keyboard,60,16000
bass_synthetic_009-069-100,440.0,0,bass,69,16000
bass_synthetic_135-065-025,349.2282314330039,0,bass,65,16000
string_acoustic_014-065-050,349.2282314330039,8,string,65,16000
vocal_synthetic_003-071-050,493.8833012561241,10,vocal,71,16000
keyboard_electronic_003-071-050,493.8833012561241,4,keyboard,71,16000
mallet_acoustic_047-067-025,391.99543598174927,5,mallet,67,16000
reed_acoustic_018-065-127,349.2282314330039,7,reed,65,16000
organ_electronic_001-069-100,440.0,6,organ,69,16000
keyboard_electronic_001-060-050,261.6255653005986,4,keyboard,60,16000
guitar_electronic_022-060-100,261.6255653005986,3,guitar,60,16000
reed_acoustic_023-069-025,440.0,7,reed,69,16000
keyboard_electronic_098-065-075,349.2282314330039,4,keyboard,65,16000
brass_acoustic_006-064-025,329.6275569128699,1,brass,64,16000
bass_synthetic_134-060-127,261.6255653005986,0,bass,60,16000
brass_acoustic_046-071-127,493.8833012561241,1,brass,71,16000
keyboard_electronic_003-072-050,523.2511306011972,4,keyboard,72,16000
string_acoustic_056-067-050,391.99543598174927,8,string,67,16000
mallet_acoustic_062-069-075,440.0,5,mallet,69,16000
guitar_acoustic_010-067-075,391.99543598174927,3,guitar,67,16000
guitar_electronic_028-071-075,493.8833012561241,3,guitar,71,16000
guitar_acoustic_010-065-127,349.2282314330039,3,guitar,65,16000
organ_electronic_104-072-025,523.2511306011972,6,organ,72,16000
keyboard_electronic_002-060-075,261.6255653005986,4,keyboard,60,16000
guitar_acoustic_015-065-100,349.2282314330039,3,guitar,65,16000
guitar_acoustic_021-067-075,391.99543598174927,3,guitar,67,16000
bass_synthetic_134-072-127,523.2511306011972,0,bass,72,16000
mallet_acoustic_056-071-100,493.8833012561241,5,mallet,71,16000
keyboard_electronic_002-065-025,349.2282314330039,4,keyboard,65,16000
brass_acoustic_059-060-050,261.6255653005986,1,brass,60,16000
bass_synthetic_135-072-025,523.2511306011972,0,bass,72,16000
organ_electronic_057-062-075,293.6647679174076,6,organ,62,16000
keyboard_electronic_003-071-025,493.8833012561241,4,keyboard,71,16000
organ_electronic_113-062-025,293.6647679174076,6,organ,62,16000
reed_acoustic_023-062-050,293.6647679174076,7,reed,62,16000
organ_electronic_001-071-075,493.8833012561241,6,organ,71,16000
keyboard_acoustic_004-071-075,493.8833012561241,4,keyboard,71,16000
keyboard_electronic_003-067-075,391.99543598174927,4,keyboard,67,16000
organ_electronic_113-062-127,293.6647679174076,6,organ,62,16000
keyboard_acoustic_004-072-050,523.2511306011972,4,keyboard,72,16000
mallet_acoustic_062-064-050,329.6275569128699,5,mallet,64,16000
keyboard_electronic_078-060-127,261.6255653005986,4,keyboard,60,16000
reed_acoustic_011-071-075,493.8833012561241,7,reed,71,16000
reed_acoustic_037-067-025,391.99543598174927,7,reed,67,16000
bass_synthetic_034-065-100,349.2282314330039,0,bass,65,16000
mallet_acoustic_062-071-127,493.8833012561241,5,mallet,71,16000
brass_acoustic_015-065-025,349.2282314330039,1,brass,65,16000
brass_acoustic_015-064-050,329.6275569128699,1,brass,64,16000
bass_synthetic_009-064-100,329.6275569128699,0,bass,64,16000
vocal_acoustic_000-060-025,261.6255653005986,10,vocal,60,16000
string_acoustic_056-067-075,391.99543598174927,8,string,67,16000
organ_electronic_007-072-100,523.2511306011972,6,organ,72,16000
bass_electronic_018-062-127,293.6647679174076,0,bass,62,16000
bass_synthetic_009-060-050,261.6255653005986,0,bass,60,16000
mallet_acoustic_047-069-050,440.0,5,mallet,69,16000
keyboard_electronic_003-065-025,349.2282314330039,4,keyboard,65,16000
organ_electronic_028-064-127,329.6275569128699,6,organ,64,16000
bass_synthetic_033-062-025,293.6647679174076,0,bass,62,16000
guitar_acoustic_014-062-100,293.6647679174076,3,guitar,62,16000
reed_acoustic_018-071-100,493.8833012561241,7,reed,71,16000
guitar_acoustic_014-062-025,293.6647679174076,3,guitar,62,16000
keyboard_electronic_001-062-100,293.6647679174076,4,keyboard,62,16000
organ_electronic_028-067-050,391.99543598174927,6,organ,67,16000
flute_synthetic_000-067-100,391.99543598174927,2,flute,67,16000
guitar_acoustic_010-067-025,391.99543598174927,3,guitar,67,16000
flute_synthetic_000-071-075,493.8833012561241,2,flute,71,16000
organ_electronic_001-065-050,349.2282314330039,6,organ,65,16000
keyboard_electronic_003-072-127,523.2511306011972,4,keyboard,72,16000
reed_acoustic_018-060-100,261.6255653005986,7,reed,60,16000
mallet_acoustic_047-067-050,391.99543598174927,5,mallet,67,16000
guitar_acoustic_015-060-127,261.6255653005986,3,guitar,60,16000
organ_electronic_057-071-050,493.8833012561241,6,organ,71,16000
keyboard_electronic_098-071-025,493.8833012561241,4,keyboard,71,16000
vocal_acoustic_000-062-127,293.6647679174076,10,vocal,62,16000
keyboard_electronic_069-071-050,493.8833012561241,4,keyboard,71,16000
keyboard_electronic_098-072-075,523.2511306011972,4,keyboard,72,16000
string_acoustic_057-065-025,349.2282314330039,8,string,65,16000
organ_electronic_007-071-127,493.8833012561241,6,organ,71,16000
keyboard_electronic_001-067-127,391.99543598174927,4,keyboard,67,16000
reed_acoustic_023-072-050,523.2511306011972,7,reed,72,16000
bass_synthetic_134-062-100,293.6647679174076,0,bass,62,16000
reed_acoustic_023-060-075,261.6255653005986,7,reed,60,16000
keyboard_electronic_078-072-100,523.2511306011972,4,keyboard,72,16000
string_acoustic_057-072-100,523.2511306011972,8,string,72,16000
guitar_electronic_028-062-075,293.6647679174076,3,guitar,62,16000
guitar_acoustic_014-064-075,329.6275569128699,3,guitar,64,16000
guitar_acoustic_015-072-100,523.2511306011972,3,guitar,72,16000
string_acoustic_057-062-100,293.6647679174076,8,string,62,16000
guitar_acoustic_010-069-075,440.0,3,guitar,69,16000
string_acoustic_056-069-075,440.0,8,string,69,16000
keyboard_electronic_002-060-127,261.6255653005986,4,keyboard,60,16000
bass_synthetic_009-064-075,329.6275569128699,0,bass,64,16000
guitar_acoustic_010-060-050,261.6255653005986,3,guitar,60,16000
reed_acoustic_011-065-127,349.2282314330039,7,reed,65,16000
keyboard_electronic_002-072-100,523.2511306011972,4,keyboard,72,16000
bass_electronic_027-062-025,293.6647679174076,0,bass,62,16000
brass_acoustic_016-060-100,261.6255653005986,1,brass,60,16000
flute_synthetic_000-072-127,523.2511306011972,2,flute,72,16000
keyboard_electronic_003-065-100,349.2282314330039,4,keyboard,65,16000
string_acoustic_056-064-050,329.6275569128699,8,string,64,16000
bass_synthetic_135-072-050,523.2511306011972,0,bass,72,16000
guitar_acoustic_015-065-025,349.2282314330039,3,guitar,65,16000
brass_acoustic_059-064-127,329.6275569128699,1,brass,64,16000
keyboard_electronic_098-069-075,440.0,4,keyboard,69,16000
organ_electronic_001-072-075,523.2511306011972,6,organ,72,16000
organ_electronic_113-071-050,493.8833012561241,6,organ,71,16000
